ggis_rowid,ggis_country_status,ggis_global_slug_coverage,ggis_peer_deviation,ggis_lag_affected
1,nascent,0.1461038961038961,0.03165584415584416,false
2,nascent,0.15097402597402598,0.03165584415584416,false
3,nascent,0.15584415584415584,0.026437847866419284,false
4,nascent,0.15584415584415584,0.02087198515769942,false
5,nascent,0.17694805194805194,0.006957328385899825,false
6,strong,0.17694805194805194,0.008580705009276435,false
7,strong,0.17694805194805194,0.006261595547309817,false
8,reporting,0.17694805194805194,-0.00046382189239332905,false
9,reporting,0.17694805194805194,-0.002087198515769967,false
10,reporting,0.17694805194805194,-0.009508348794063093,false
11,reporting,0.17694805194805194,-0.009972170686456422,false
12,reporting,0.17694805194805194,-0.009972170686456422,false
13,reporting,0.17694805194805194,-0.010204081632653073,false
14,reporting,0.17694805194805194,-0.01461038961038963,false
15,reporting,0.21428571428571427,-0.05542671614100189,false
16,reporting,0.23863636363636365,-0.05426716141001853,false
17,reporting,0.25162337662337664,-0.053803339517625226,false
18,reporting,0.25162337662337664,-0.05264378478664189,false
19,reporting,0.2564935064935065,-0.04870129870129869,false
20,reporting,0.3003246753246753,-0.012291280148423012,false
21,strong,0.3198051948051948,0.009943181818181823,false
22,strong,0.32142857142857145,0.0087256493506494,false
23,strong,0.3474025974025974,0.012987012987012991,false
24,strong,0.32142857142857145,0.01014610389610393,false
25,reporting,0.375,-0.009334415584415612,false
26,reporting,0.37337662337662336,-0.0007215007215007341,false
27,reporting,0.3847402597402597,-0.022727272727272763,false
28,reporting,0.35714285714285715,-0.05447330447330445,false
29,reporting,0.3246753246753247,-0.08441558441558444,false
30,reporting,0.3246753246753247,-0.09794372294372294,false
31,reporting,0.3246753246753247,-0.08567821067821069,false
32,reporting,0.35064935064935066,-0.06186868686868685,false
33,reporting,0.3814935064935065,-0.0505050505050505,false
34,reporting,0.3555194805194805,-0.0631313131313132,false
35,reporting,0.3685064935064935,-0.0753968253968254,false
36,reporting,0.3912337662337662,-0.06168831168831174,false
37,reporting,0.37987012987012986,-0.0661976911976912,false
38,reporting,0.387987012987013,-0.06403318903318905,false
39,reporting,0.387987012987013,-0.0658369408369408,false
40,reporting,0.3912337662337662,-0.07990620490620498,false
41,reporting,0.38961038961038963,-0.07052669552669555,false
42,reporting,0.3912337662337662,-0.07251082251082253,false
43,reporting,0.44642857142857145,-0.04473304473304468,false
44,reporting,0.4237012987012987,-0.04473304473304485,false
45,reporting,0.45616883116883117,-0.07792207792207789,false
46,reporting,0.5081168831168831,-0.0683621933621934,false
47,reporting,0.5048701298701299,-0.08243145743145741,false
48,reporting,0.5032467532467533,-0.10064935064935066,false
49,reporting,0.5227272727272727,-0.08658008658008665,false
50,reporting,0.551948051948052,-0.10425685425685427,false
51,reporting,0.6022727272727273,-0.07431457431457422,false
